entity_type,recoverable,source_hash_prefix,token
PERSON,True,149f7514de22,PERSON_1
PERSON,True,91b2d84f6ce5,PERSON_2
AMOUNT,True,1bc575f96d34,AMOUNT_1
AMOUNT,True,3d3c02b1081a,AMOUNT_2
AMOUNT,True,c51869094f1e,AMOUNT_3
DATE,True,dc791cac3a41,DATE_1
VENDOR,True,f98ed7914c58,VENDOR_1
INVOICE_ID,True,130b97676dce,INVOICE_ID_1
PROJECT_CODE,True,b95f8333b4d5,PROJECT_CODE_1
COST_CENTER,True,f231716fc673,COST_CENTER_1
EMPLOYEE_ID,True,c47ba68b4674,EMPLOYEE_ID_1
EMAIL,True,8f855754fbde,EMAIL_1
PHONE_NUMBER,True,e1b187c72a2a,PHONE_NUMBER_1
